Part,FFTE Feed solids SP,TFE Motor speed,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Out flow PV,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV,batch
0,50.0,3,0.5225000000000009,0.1290952380952381,0.4640684783675073,0.6836734693877551,0.17000000000000015,0.924812030075188,0.6109115103127079,0.7475728155339807,0.6973146204000442,0.45597545139732715,0.48188913348008805,0.6001174398120962,0.578088289847904,0.8767764298093589,0.695311638168781,0.430425259329669,0.1275292471387806,0.46956774568714865,0.42986191766679577,0.10866480649081686,0.7741077503556628,0.7411764705882351,0.7400852373623772,0.6634036144578314,0.39019492025989366,0.33333333333333337,0.11517772386879022,1
0,50.0,3,0.5225000000000009,0.1290952380952381,0.4640684783675073,0.6836734693877551,0.17000000000000015,0.924812030075188,0.4159680638722555,0.7572815533980584,0.6941098463918665,0.4572337322093209,0.4786872123273965,0.5789782736347622,0.6057870656609373,0.8679376083188907,0.6656370656370657,0.4282142414348886,0.1275292471387806,0.46394650125993403,0.4034068912117693,0.10471123370598372,0.7857363765695553,0.8470588235294116,0.7381910737539955,0.6634036144578314,0.38842291789722394,0.31481481481481477,0.11138065604893999,1
0,50.0,3,0.5225000000000009,0.13690476190476192,0.4640684783675073,0.6836734693877551,0.17000000000000015,0.924812030075188,0.3407850964737192,0.7572815533980584,0.6941098463918665,0.45660459180332397,0.4469681809085452,0.5742806811509101,0.6057870656609373,0.8679376083188907,0.6353006067291782,0.4289581353060297,0.12832109640291636,0.46394650125993403,0.377339011485353,0.12799698881937,0.7476959237953857,0.8470588235294116,0.7400852373623772,0.6103162650602408,0.3819255759007678,0.29629629629629617,0.11517772386879022,1
0,50.0,3,0.5225000000000009,0.13690476190476192,0.4640684783675073,0.6836734693877551,0.17185185185185192,0.924812030075188,0.2558882235528942,0.7572815533980584,0.63631340479611,0.4556926535124419,0.45467280368220936,0.5742806811509101,0.6026956844318041,0.8679376083188907,0.6607832322118037,0.4421415878001405,0.10369440113117835,0.4251792983136266,0.4039230868499162,0.07638465930985575,0.7759015278035504,0.8470588235294116,0.7400852373623772,0.6103162650602408,0.35995274660366217,0.33333333333333337,0.11517772386879022,1
1,50.0,3,0.0,0.09523809523809525,0.5375748062395762,0.6632653061224489,0.16666666666666674,0.8872180451127819,0.6246174318030604,1.0,0.759199911592441,0.4420082433400613,0.575245147088253,0.6105402231356429,0.7298132805737604,0.8828422876949739,0.7488141202426917,0.3671116254081085,0.06924804235569355,0.12676875363442527,0.31049167634533487,0.03873651218706009,0.2826745840291953,0.6941176470588235,0.7097786196282704,0.7756024096385542,0.026225634967513317,0.35185185185185175,0.20430334352916368,1
1,50.0,3,0.0,0.09523809523809525,0.5375748062395762,0.6632653061224489,0.17277777777777792,0.8872180451127819,0.46360612109115107,1.0,0.76748812023428,0.4423230560798392,0.5777466479887934,0.5841162654139753,0.6886360826017065,0.8828422876949739,0.7670159955874242,0.3685994131503906,0.08330351942503318,0.2100213219616205,0.7971351142082851,0.047731463537812865,0.6771819137749737,0.6941176470588235,0.7097786196282704,0.6573795180722891,0.13112817483756647,0.40740740740740733,0.12266638540238384,1
1,50.0,3,0.0,0.09523809523809525,0.5375748062395762,0.6632653061224489,0.17888888888888888,0.8872180451127819,0.4679973386560213,1.0,0.76748812023428,0.4423230560798392,0.5777466479887934,0.5841162654139753,0.6886360826017065,0.8828422876949739,0.7662437948152234,0.36785551927924953,0.08369974931896079,0.20662919170381855,0.8179119886436961,0.049544659600683,0.715779056101936,0.6941176470588235,0.7097786196282704,0.6573795180722891,0.1299468399291199,0.40740740740740733,0.12266638540238384,1
1,50.0,3,0.0,0.09523809523809525,0.5375748062395762,0.6632653061224489,0.16814814814814816,0.8872180451127819,0.46506986027944114,1.0,0.76748812023428,0.44046716464318236,0.5777466479887934,0.5841162654139753,0.6886360826017065,0.8828422876949739,0.7670159955874242,0.36785551927924953,0.08251167016089742,0.20662919170381855,0.8306878306878308,0.049544659600683,0.715779056101936,0.6941176470588235,0.7097786196282704,0.6573795180722891,0.1299468399291199,0.40740740740740733,0.12266638540238384,1
1,50.0,3,0.0,0.09523809523809525,0.5375748062395762,0.6632653061224489,0.17833333333333323,0.8872180451127819,0.3209580838323353,1.0,0.7632887611890815,0.466860016987276,0.5854512707624575,0.5127715795654726,0.6886360826017065,0.8684575389948007,0.7563154991726421,0.37000454601810145,0.12008574195116055,0.5505911998449312,0.566266615047103,0.11367039093334856,0.7642110471949033,0.6941176470588235,0.7040369361903634,0.6513554216867471,0.3050206733608978,0.4629629629629629,0.11517772386879022,1
1,50.0,3,0.0,0.09523809523809525,0.5375748062395762,0.6632653061224489,0.2207407407407409,0.8872180451127819,0.3241516966067864,1.0,0.7632887611890815,0.4640601724048443,0.5854512707624575,0.5127715795654726,0.6886360826017065,0.8684575389948007,0.7563154991726421,0.3693226433028888,0.11501778455594779,0.8775925566970343,0.43644341205316817,0.1143957812151322,0.7947052638089936,0.6941176470588235,0.7059310997987451,0.6513554216867471,0.3015948021264029,0.4629629629629629,0.1188693175825336,1
