Part,FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV,batch
2,3,43.0,54.0,2609.3,73.0,-55.87,120.0,41.34,1.29,53.54,10196.5,57.29,48.67,60.02,60.14,53.46,54.09,1622.57,45.57,28.53,3,6031.13,72.92,1.23,119.91,76.1,82.23,85,-55.88,0
2,3,43.0,54.0,2609.3,73.0,-60.5,120.0,43.03,1.29,53.31,10234.76,52.01,48.1,60.02,60.14,52.38,56.9,1673.8,45.57,28.2,3,1610.25,72.7,1.23,120.23,76.1,82.46,84,-58.34,0
2,3,43.0,57.0,2609.3,73.0,-60.5,120.0,43.92,1.29,53.31,10222.44,57.13,48.1,60.02,60.14,51.61,57.97,1661.48,45.57,28.53,3,5646.56,72.7,1.23,119.91,74.66,82.64,83,-61.55,0
2,3,43.0,62.0,2609.3,73.0,-60.5,120.0,44.8,1.29,51.45,10202.98,50.79,48.1,60.02,60.14,51.77,60.08,1693.26,45.57,28.67,3,5089.49,72.47,1.23,119.91,74.66,82.73,83,-64.72,0
2,3,43.0,62.0,2609.3,73.0,-66.93,120.0,44.75,1.29,51.45,10209.47,50.21,48.1,60.02,60.14,51.92,64.68,1718.55,45.57,28.37,3,5287.94,72.47,1.23,119.91,74.66,82.72,82,-64.72,0
2,3,43.0,62.0,2609.3,73.0,-68.7,120.0,45.18,1.29,51.45,10209.47,56.97,48.1,60.02,60.14,52.38,60.79,1706.23,45.63,28.64,3,5230.22,72.47,1.23,119.91,74.66,82.56,80,-67.54,0
2,3,43.0,62.0,2609.3,73.0,-66.94,120.0,46.55,1.29,52.15,10177.04,57.1,49.09,60.02,60.14,51.15,62.9,1699.74,45.63,28.8,3,1603.76,72.47,1.23,120.23,71.52,82.83,79,-67.86,0
2,3,43.0,62.0,2609.3,73.0,-67.94,120.0,47.08,1.29,52.15,10234.76,57.1,49.09,60.02,60.14,50.45,62.18,1712.71,45.63,28.6,3,5332.69,73.07,1.23,119.91,71.52,83.0,79,-67.86,0
2,3,43.0,67.0,2609.3,73.0,-67.94,120.0,47.51,1.29,52.15,10202.98,49.03,49.09,60.02,60.14,49.9,62.18,1731.52,45.63,28.8,3,5300.91,73.07,1.23,119.91,71.52,83.06,79,-68.22,0
2,3,43.0,68.0,2609.3,73.0,-67.94,120.0,47.65,1.29,52.15,10196.5,49.03,49.09,60.02,60.14,49.9,64.68,1744.49,45.63,28.57,3,1616.08,73.07,1.23,119.91,71.52,83.08,79,-68.58,0
2,3,43.0,68.0,2609.3,73.0,-73.39,120.0,47.92,1.29,49.29,10228.28,57.17,48.58,60.02,60.14,49.36,67.82,1827.5,46.18,28.8,3,1686.77,73.07,1.23,119.91,70.62,83.32,78,-71.39,0
