Feature,Original Mean,Global Optimization,Local Refinement
FFTE Feed solids SP,47.79739812661533,41.31359156722135,41.31359156722135
FFTE Production solids SP,0.6935948159992078,0.7646026919976175,0.7646026919976175
FFTE Steam pressure SP,0.12490209948095672,0.1359275613930841,0.1359275613930841
TFE Out flow SP,0.5938349028486195,0.37782388861748184,0.37782388861748184
TFE Production solids SP,0.6548473153852676,0.6206183841973555,0.6206183841973555
TFE Vacuum pressure SP,0.4121752932535449,0.7172922375274071,0.7172922375274071
TFE Steam pressure SP,0.8793565147456961,0.9023475163052832,0.9023475163052832
